Arbitrary start time (ms),S13 dx/dt (mm/s),S14 dx/dt (mm/s),S15 dx/dt (mm/s),S16 dx/dt (mm/s),S17 dx/dt (mm/s),S18 dx/dt (mm/s),S19 dx/dt (mm/s),S20 dx/dt (mm/s),S21 dx/dt (mm/s),S22 dx/dt (mm/s),S23 dx/dt (mm/s)
57.2,7316.6756846861845,7121.5488827108065,8787.714037321482,7275.781073417212,7185.95621911157,7128.734791603439,7171.812515868447,7124.68969219068,7278.089011846097,7293.380551246078,7190.034592025903
57.300000000000004,7340.971823563013,7129.354150498637,8789.136397884336,7249.719300671492,7218.892709806901,7140.489556925695,7186.44485071146,7169.2307150673505,7269.570504107837,7334.3822859791435,7223.182008421325
57.400000000000006,7363.711994556541,7144.326513344984,8793.53421488904,7221.523581341329,7253.141730754825,7160.080336353552,7204.509079152011,7213.006179338854,7253.179785225618,7370.607092008543,7259.243831828943
57.5,7384.3923432420015,7166.201959240447,8801.194132845641,7194.136852707309,7287.839681867827,7185.967633408631,7224.997773394157,7253.266688453627,7230.67928424492,7400.603763177927,7296.521558367393
57.6,7402.512118340853,7193.979765798211,8812.252003183521,7170.322278034086,7322.103234109324,7216.084983664153,7246.651530553342,7287.738419388695,7204.197017664249,7423.471023629951,7333.302108273262
57.7,7417.6066640257695,7226.045420179978,8826.767121155146,7152.4387241428485,7355.051714449943,7248.08339414375,7268.070681526472,7314.858523557252,7176.145933591805,7438.887948397976,7367.941879933328
57.800000000000004,7429.3606105880635,7260.419284800227,8844.786689543045,7142.1701871302275,7385.84918547396,7279.563884366174,7287.848664105145,7333.801313028306,7148.991397707724,7447.095170635762,7399.070308623906
57.900000000000006,7437.713095305654,7294.998239350385,8866.393350015644,7140.335745741245,7413.733576775102,7308.285240595257,7304.717452820246,7344.484816565074,7125.076088903564,7448.827074913779,7425.653264848187
58.0,7442.837378444518,7327.736226877522,8891.77467574473,7146.869038676948,7438.072039417491,7332.408728059886,7317.679106463071,7347.544501422834,7106.486808421915,7445.217273828817,7447.010566359963
58.1,7445.1591102536695,7356.88780849735,8921.229630875574,7160.882367999272,7458.37940569153,7350.609633039158,7326.120137408697,7344.129994823687,7094.870303875008,7437.659997910056,7462.931946810513
58.2,7445.382605997466,7381.213870039931,8955.162096086326,7180.815737039062,7474.3615564281345,7362.153171602091,7329.875298464475,7335.746712500469,7091.314637191398,7427.615630258018,7473.664838011657
58.300000000000004,7444.31005173233,7399.976111223979,8994.061761302588,7204.7167986620125,7485.978744016178,7366.981989704657,7329.223711616709,7324.117567171772,7096.295582685101,7416.48373170257,7479.804161650135
58.400000000000006,7442.779432834428,7412.934199828349,9038.434562348126,7230.511655926876,7493.387656918811,7365.671651786345,7324.869448083649,7310.951179159776,7109.66643203741,7405.482572853615,7482.240535990996
58.5,7441.583381920476,7420.34503621774,9088.725340597985,7256.245660338796,7496.956493080587,7359.301901716393,7317.863040678343,7297.8084218471695,7130.6699333940405,7395.523619890484,7482.051122209511
58.6,7441.296133760673,7422.817232055437,9145.258399175458,7280.311265816484,7497.292390045585,7349.386304959256,7309.446356182793,7286.005840326147,7158.008305692726,7387.167537298428,7480.29002302708
58.7,7442.200905412406,7421.13246283914,9208.124999629794,7301.543418913429,7495.110305793249,7337.6833217967205,7300.927432378406,7276.482978806845,7189.965395161629,7380.661840193243,7477.828718225765
58.800000000000004,7444.289283925869,7416.197830157572,9277.11982223345,7319.23711297647,7491.17770803572,7325.943811922929,7293.514754077894,7269.78094457373,7224.548706966175,7375.967465373849,7475.325968769439
58.900000000000006,7447.294300049307,7408.937091927575,9351.700945653522,7333.154756868748,7486.28960460543,7315.740755384542,7288.147297122482,7266.050965047631,7259.646161446161,7372.79697409072,7473.131561510015
59.0,7450.676357676368,7400.140821830022,9430.996396897783,7343.415562139416,7481.109683762923,7308.3046799285485,7285.39043640405,7265.0487435527875,7293.188031156395,7370.721571763356,7471.269289122303
59.1,7453.73439257726,7390.482455888405,9513.887616846741,7350.394495751761,7476.089393590896,7304.344368283825,7285.376892956284,7266.224739001875,7323.359195105421,7369.263208230977,7469.60272693748
59.2,7455.794032019653,7380.514393774791,9599.144905287327,7354.670828084482,7471.456452880502,7303.969848442268,7287.7814178594535,7268.8441345167885,7348.731183693434,7367.919435517438,7467.925674892198
59.300000000000004,7456.24526690598,7370.6068934308905,9685.603234397184,7356.903907155259,7467.188095677172,7306.749444492841,7291.878004152257,7272.081498817973,7368.306774889179,7366.224445323229,7466.007402509049
59.400000000000006,7454.623147483588,7360.98488368721,9772.310344620511,7357.739937948466,7463.046176080254,7311.779603722432,7296.6786439196385,7275.154589961877,7381.6561468888885,7363.836090324372,7463.7338445638325
59.5,7450.763983234733,7351.796595365629,9858.624401926621,7357.8002024351745,7458.671838592434,7317.812875555159,7301.094260709485,7277.447643122703,7388.889389024841,7360.529264021596,7461.161084092467
59.6,7444.759561142362,7343.123616157431,9944.256692232999,7357.575628569822,7453.706335560141,7323.503466632036,7304.0983159842945,7278.571010780246,7390.506068324744,7356.23483999656,7458.406291808401
59.7,7436.890828941856,7334.994451287929,10029.169826316744,7357.380434167811,7447.914880830311,7327.624036779315,7304.909343693641,7278.398488998694,7387.369237753562,7351.077814716478,7455.5930479953895
59.800000000000004,7427.6539032462815,7327.468955503281,10113.407341931827,7357.392357276711,7441.249068253413,7329.208782828477,7303.132931680029,7277.034160834508,7380.533937937701,7345.3536125411065,7452.81590159756
59.900000000000006,7417.6582405596755,7320.6637313253495,10196.92757482857,7357.614064691759,7433.911310863337,7327.71795977904,7298.788885059442,7274.746708970175,7371.06165470131,7339.4576012541565,7450.010978279024
60.0,7407.501508251889,7314.678936177831,10279.368718758651,7357.927680232666,7426.3333371598255,7323.134327926038,7292.304837363823,7271.868041872059,7359.984956984038,7333.835373631889,7446.89919478084
60.1,7397.734630660368,7309.69897046187,10359.970174806966,7358.182390528401,7419.038466781345,7315.879844372905,7284.449386569141,7268.698584738563,7348.219623535171,7328.932068523056,7443.08486928027
60.2,7388.799519227761,7305.945428537607,10437.569943124443,7358.242480985456,7412.587251442418,7306.750068448555,7276.153289312863,7265.4419966586,7336.509341896334,7325.058002919679,7438.098729240858
60.300000000000004,7380.962295812099,7303.605979440778,10510.703669906843,7358.042948974417,7407.45888312553,7296.792974397949,7268.34633755495,7262.143397063104,7325.465010276065,7322.343465513729,7431.494099157377
60.400000000000006,7374.293856438856,7302.87752508453,10577.753117058659,7357.588569020052,7403.862063102978,7287.062889445584,7261.814192560583,7258.719404083482,7315.624514659835,7320.742729240312,7423.016473429485
60.5,7368.696697297666,7303.9317090155755,10637.189431097462,7356.959360642821,7401.751843809697,7278.484279747153,7257.054722516845,7255.018389463791,7307.416653911861,7320.0316227244175,7412.702685437936
60.6,7363.957503037642,7306.8773065748655,10687.701218095537,7356.276064970546,7400.866697101166,7271.715675434014,7254.209861601814,7250.8695660887015,7301.154092973499,7319.865692032248,7400.867091199431
60.7,7359.732499978764,7311.705803527057,10728.271028085646,7355.6049334082045,7400.680285883042,7267.025423597962,7253.0848746595975,7246.174309525279,7297.048851108134,7319.857540999027,7388.066124550466
60.800000000000004,7355.670034715802,7318.316857215241,10758.220045455335,7354.941025313411,7400.563496755766,7264.302307139095,7253.192651284129,7240.927948263695,7295.162187801698,7319.642121976034,7375.05611378147
60.900000000000006,7351.4855531230005,7326.486521799968,10777.113136245092,7354.186661921418,7399.950741342211,7263.132691387076,7253.881515367842,7235.244077252447,7295.339062544106,7318.922786890955,7362.629146130433
61.0,7346.936354093102,7335.807081971171,10784.631570964557,7353.133496608637,7398.355734498769,7262.874492975815,7254.488471331459,7229.384313117541,7297.230815718838,7317.53517590882,7351.449988505936
61.1,7341.93587826191,7345.79092559166,10780.462135846756,7351.532338361227,7395.503141894225,7262.824096172343,7254.43755341424,7223.6641422484445,7300.385627784701,7315.433873997914,7342.024003669752
61.2,7336.5690079325705,7355.867582020565,10764.229114499292,7349.17087194994,7391.420237209518,7262.3762842844335,7253.367189518164,7218.4347291540325,7304.257495557142,7312.659271427794,7334.649326648117
61.300000000000004,7331.00788823727,7365.404343197286,10735.502520963586,7345.877339574048,7386.354306813489,7261.1010959276055,7251.205262960318,7214.057168000998,7308.296339765054,7309.360179425045,7329.355304596351
61.400000000000006,7325.499503186354,7373.861191933956,10693.906778075814,7341.612894742822,7380.744584711822,7258.829656209192,7248.137520587724,7210.81898478212,7312.102403575484,7305.735804135129,7326.004788562916
61.5,7320.344531492206,7380.81011358567,10639.296794170043,7336.496965716396,7375.177061798257,7255.668889686095,7244.583039813735,7208.936439124122,7315.4019905607765,7302.009943409833,7324.390611211487
61.6,7315.777462469346,7385.9786122645955,10571.98168388001,7330.766376956962,7370.251037197948,7251.94584923266,7241.098276547367,7208.528314058433,7318.049833345081,7298.419802387408,7324.2376314315325
61.7,7311.926916701811,7389.288141977733,10492.893545260973,7324.782167579332,7366.481975833283,7248.152510032148,7238.236691714596,7209.590539610893,7320.046391639397,7295.186312700328,7325.262707693651
61.800000000000004,7308.849379356634,7390.856423626888,10403.709708590688,7318.973480202619,7364.241472623478,7244.839807731657,7236.464097123949,7212.008169107739,7321.432472125554,7292.495625608599,7327.25250875156
61.900000000000006,7306.501153167137,7390.947239249572,10306.889432861206,7313.766385290658,7363.73361305944,7242.503000523263,7236.068221520859,7215.549655138829,7322.2363169609425,7290.460317846982,7330.006857460279
62.0,7304.732728964277,7389.91938276577,10205.575790558883,7309.523783273523,7364.962546975236,7241.515004343968,7237.105652917763,7219.905439446073,7322.4452948762355,7289.1093389228745,7333.331135604698
62.1,7303.366590359776,7388.217515145713,10103.37754977127,7306.505816372994,7367.731965551416,7242.044625460343,7239.414205207388,7224.731073376708,7322.010493528193,7288.387128170605,7337.075054813698
62.2,7302.2567245181635,7386.326341184275,10004.095557230636,7304.830856399983,7371.738705810247,7244.022264658062,7242.660772106509,7229.706122440198,7320.859249555628,7288.146001303421,7341.062302744445
62.300000000000004,7301.25644547265,7384.69791829779,9911.385693150169,7304.474544159877,7376.602994141381,7247.171098349347,7246.402808222646,7234.602013247204,7318.948654380864,7288.1864189901835,7345.0847916027615
62.400000000000006,7300.232749713662,7383.758374704785,9828.470526421914,7305.283934041786,7381.8600382345085,7251.023053278024,7250.194415956988,7239.30865308512,7316.321000086323,7288.277831433807,7348.959403568716
62.5,7299.097939959957,7383.900437581376,9757.905275731895,7307.02863340078,7387.063430546693,7255.032006948117,7253.669597867773,7243.876690307692,7313.106345276669,7288.195303449147,7352.496428459079
62.6,7297.780359258259,7385.397116831102,9701.398960760844,7309.4503457890205,7391.8191753785595,7258.673372481402,7256.594382581133,7248.523412093922,7309.541709649873,7287.751306980916,7355.500857008866
