Time (s),S13 X-position (mm),S14 X-position (mm),S15 X-position (mm),S16 X-position (mm),S17 X-position (mm),S18 X-position (mm),S19 X-position (mm),S20 X-position (mm),S21 X-position (mm),S22 X-position (mm),S23 X-position (mm)
0.0204,656.135,656.682,0.0,655.944,656.198,656.157,656.215,656.401,656.02,656.556,655.08
0.0205,656.191,656.708,0.0,655.946,656.203,656.151,656.248,656.423,656.054,656.555,655.084
0.0206,656.116,656.681,0.0,655.958,656.205,656.176,656.224,656.414,656.029,656.564,655.069
0.0207,656.167,656.662,0.0,655.96,656.169,656.178,656.232,656.399,656.043,656.547,655.094
0.0208,656.058,656.697,0.0,655.918,656.188,656.174,656.232,656.381,656.022,656.572,655.085
0.0209,656.201,656.689,0.0,655.943,656.185,656.151,656.223,656.421,656.028,656.557,655.105
0.021,656.045,656.704,0.0,655.933,656.193,656.166,656.24,656.413,656.044,656.557,655.07
0.0211,656.042,656.722,0.0,655.925,656.179,656.17,656.216,656.389,656.062,656.539,655.118
0.0212,656.024,656.741,0.0,655.951,656.186,656.159,656.215,656.423,656.039,656.584,655.074
0.0213,656.154,656.683,0.0,655.949,656.178,656.151,656.216,656.403,656.023,656.562,655.076
0.0214,656.244,656.696,0.0,655.97,656.18,656.16,656.217,656.422,656.02,656.574,655.068
0.0215,656.224,656.714,0.0,655.934,656.186,656.145,656.215,656.43,656.02,656.574,655.077
0.0216,656.025,656.681,0.0,655.941,656.186,656.153,656.223,656.395,656.029,656.547,655.069
0.0217,656.049,656.714,0.0,655.925,656.198,656.174,656.248,656.415,656.028,656.557,655.045
0.0218,656.141,656.653,0.0,655.935,656.18,656.168,656.218,656.415,656.037,656.547,655.07
0.0219,656.133,656.706,0.0,655.943,656.205,656.14,656.223,656.431,656.019,656.556,655.077
0.022,656.086,656.702,0.0,655.925,656.189,656.151,656.25,656.434,656.038,656.556,655.094
0.0221,656.062,656.707,0.0,655.933,656.179,656.149,656.215,656.381,656.022,656.564,655.078
0.0222,656.048,656.716,0.0,655.96,656.196,656.151,656.217,656.388,656.037,656.547,655.057
0.0223,656.126,656.691,0.0,655.95,656.195,656.153,656.216,656.425,656.045,656.564,655.092
0.0224,656.025,656.714,0.0,655.971,656.213,656.161,656.221,656.409,656.04,656.557,655.086
0.0225,656.122,656.685,0.0,655.952,656.215,656.152,656.217,656.397,656.03,656.581,655.128
0.0226,656.125,656.681,0.0,655.945,656.179,656.195,656.242,656.399,656.027,656.564,655.092
0.0227,656.234,656.73,0.0,655.95,656.193,656.134,656.217,656.413,656.046,656.537,655.052
0.0228,656.04,656.637,0.0,655.952,656.196,656.161,656.19,656.405,656.035,656.553,655.07
0.0229,656.042,656.707,0.0,655.927,656.22,656.151,656.248,656.415,656.03,656.564,655.078
0.023,656.059,656.69,0.0,655.935,656.203,656.151,656.198,656.407,656.03,656.572,655.109
0.0231,656.14,656.699,0.0,655.935,656.178,656.159,656.227,656.372,656.044,656.562,655.102
0.0232,656.163,656.712,0.0,655.945,656.188,656.151,656.207,656.407,656.04,656.564,655.075
0.0233,656.17,656.674,0.0,655.933,656.195,656.184,656.207,656.405,656.045,656.547,655.086
0.0234,656.202,656.666,0.0,655.917,656.203,656.144,656.208,656.407,656.047,656.547,655.068
0.0235,656.062,656.697,0.0,655.933,656.18,656.161,656.21,656.415,656.054,656.562,655.081
0.0236,656.059,656.664,0.0,655.945,656.186,656.168,656.225,656.426,656.055,656.537,655.069
0.0237,656.028,656.732,0.0,655.99,656.18,656.159,656.223,656.424,656.027,656.555,655.083
0.0238,656.114,656.704,0.0,655.94,656.197,656.184,656.205,656.4,656.038,656.539,655.107
0.0239,656.155,656.713,0.0,655.943,656.186,656.167,656.224,656.397,656.046,656.539,655.077
0.024,656.01,656.711,0.0,655.936,656.203,656.161,656.216,656.407,656.037,656.572,655.086
0.0241,656.159,656.702,0.0,655.959,656.185,656.185,656.225,656.399,656.036,656.548,655.1
0.0242,656.02,656.71,0.0,655.941,656.191,656.161,656.216,656.417,656.047,656.557,655.11
0.0243,656.229,656.731,0.0,655.942,656.205,656.153,656.218,656.389,656.021,656.549,655.051
0.0244,656.019,656.715,0.0,655.941,656.194,656.169,656.234,656.406,656.051,656.554,655.081
0.0245,656.057,656.725,0.0,655.94,656.196,656.142,656.225,656.415,656.039,656.556,655.06
0.0246,656.028,656.681,0.0,655.925,656.188,656.133,656.204,656.407,656.019,656.555,655.068
0.0247,656.0,656.708,0.0,655.942,656.18,656.15,656.218,656.414,656.021,656.549,655.085
0.0248,655.994,656.664,0.0,655.923,656.195,656.184,656.207,656.405,656.065,656.547,655.079
0.0249,656.021,656.693,0.0,655.92,656.188,656.159,656.231,656.432,656.023,656.596,655.06
0.025,656.093,656.69,0.0,655.952,656.161,656.15,656.225,656.393,656.013,656.564,655.078
0.0251,656.219,656.697,0.0,655.959,656.195,656.178,656.208,656.434,656.055,656.562,655.067
0.0252,656.041,656.709,0.0,655.96,656.171,656.171,656.193,656.423,656.02,656.572,655.084
0.0253,656.061,656.716,0.0,655.933,656.173,656.159,656.207,656.415,656.02,656.572,655.069
0.0254,656.052,656.706,0.0,655.943,656.195,656.177,656.242,656.422,656.019,656.556,655.077
0.0255,656.125,656.719,0.0,655.943,656.194,656.16,656.205,656.414,656.055,656.556,655.073
0.0256,656.076,656.68,0.0,655.943,656.178,656.157,656.208,656.388,656.055,656.556,655.073
0.0257,656.035,656.679,0.0,655.935,656.186,656.178,656.225,656.415,656.036,656.562,655.06
0.0258,656.078,656.687,0.0,655.934,656.214,656.177,656.216,656.415,656.036,656.541,655.075
0.0259,656.147,656.709,0.0,655.954,656.198,656.167,656.225,656.398,656.04,656.549,655.058
0.026,656.189,656.688,0.0,655.949,656.171,656.179,656.208,656.399,656.046,656.555,655.06
0.0261,656.148,656.698,0.0,655.952,656.19,656.152,656.235,656.405,656.046,656.555,655.101
0.0262,656.034,656.686,0.0,655.941,656.204,656.182,656.207,656.416,656.053,656.55,655.075
0.0263,0.0,656.714,0.0,655.944,656.177,656.155,656.208,656.407,656.039,656.557,655.102
0.0264,656.182,656.65,0.0,655.943,656.172,656.176,656.214,656.388,656.028,656.547,655.077
0.0265,0.0,656.681,0.0,655.936,656.178,656.157,656.215,656.418,656.047,656.555,655.103
0.0266,656.06,656.69,0.0,655.93,656.203,656.149,656.251,656.426,656.043,656.554,655.092
0.0267,656.165,656.68,0.0,655.933,656.186,656.169,656.214,656.414,656.045,656.541,655.086
0.0268,656.126,656.692,0.0,655.95,656.178,656.158,656.207,656.442,656.014,656.547,655.086
0.0269,0.0,656.689,0.0,655.919,656.195,656.167,656.225,656.426,656.053,656.574,655.072
0.027,656.127,656.688,0.0,655.933,656.18,656.177,656.223,656.43,656.038,656.572,655.096
0.0271,0.0,656.739,0.0,655.925,656.189,656.144,656.222,656.39,656.03,656.564,655.059
0.0272,656.049,656.69,0.0,655.935,656.18,656.181,656.242,656.397,656.074,656.564,655.06
0.0273,656.084,656.689,0.0,655.942,656.221,656.195,656.225,656.396,656.071,656.537,655.09
0.0274,656.042,656.723,0.0,655.936,656.206,656.144,656.234,656.397,656.013,656.539,655.077
0.0275,656.096,656.665,0.0,655.935,656.198,656.177,656.225,656.432,656.036,656.564,655.05
