Kinetic energy (J),Arbitrary start time (ms),Average dx/dt (m/s),S13 dx/dt (m/s),S15 dx/dt (m/s),S16 dx/dt (m/s),S17 dx/dt (m/s),S18 dx/dt (m/s),S19 dx/dt (m/s),S20 dx/dt (m/s),S21 dx/dt (m/s),S22 dx/dt (m/s),S23 dx/dt (m/s)
1.4420074866306252,20.8,3.49281046282118,3.480771185874019,3.478341586486991,3.45152259051578,3.4608070089074237,3.5307408602442494,3.552732756223134,3.5090879264684416,3.4231960186979378,3.5216222556924106,3.5192824391014157
1.444581526268412,20.900000000000002,3.495926474381915,3.478430113283835,3.4815987525000907,3.4507546924355816,3.459768171294212,3.537871059400471,3.5612931525586706,3.5150881997377743,3.4237978774142603,3.5324530593418455,3.518209665852409
1.4478599726582098,21.0,3.4998911907889623,3.4766965062634796,3.4860187874646864,3.450299249631045,3.459035915903329,3.547128002384069,3.570446549431847,3.52144635082699,3.4257064885546606,3.544531043654514,3.5176030137750005
1.4519376014043819,21.1,3.504816122493524,3.4757439455448917,3.4914184466155556,3.450637199265241,3.4590612888631687,3.558377016282646,3.580044065258687,3.5281514320046328,3.4292528670601015,3.557465869741248,3.518009094299078
1.4568911328712069,21.200000000000003,3.5107896693087826,3.475738048510194,3.4976287591131405,3.4523221549095675,3.460444346746286,3.5712050389154752,3.5898516964833194,3.535164563510774,3.4347712938886317,3.570847922007272,3.519922869003166
1.4627657498257842,21.3,3.517860820609483,3.4768312267998596,3.5045452613001222,3.4559331691183535,3.4638140310623986,3.584971031550492,3.599540417773607,3.5424168002462504,3.4425602412158165,3.584268734137876,3.5237272928900567
1.4695635929647666,21.400000000000002,3.526025541094844,3.4791363708329897,3.5121593519157974,3.461992381003157,3.46974333741845,3.5989057959567496,3.6087389989659293,3.5497863072695783,3.452843592128162,3.5973292723922548,3.5296200030653737
1.4772464747908736,21.5,3.5352305606104473,3.4827206523600722,3.5205259482181774,3.4708824551068034,3.478666857981139,3.612260044363221,3.617096760374817,3.5570978619914633,3.4657446131715637,3.609704365174945,3.5376060473622726
1.4857375580407648,21.6,3.5453761002737436,3.4876204168431424,3.5297385846318345,3.4827726848167653,3.490791138713505,3.624395724083239,3.6243566896085997,3.5641846147927656,3.4812603722996442,3.6211220434954714,3.5475187334524705
1.494920348188875,21.700000000000003,3.556315547350306,3.4937848829177236,3.539890322559712,3.497579458926239,3.506078116236426,3.6348808886991173,3.6303988463860737,3.570911640469956,3.499204989877185,3.631379890742788,3.5590464366878343
1.504656013626536,21.8,3.5678770029496705,3.5011364748190905,3.5510120884423606,3.5149500494752735,3.5242242163785833,3.6435248620891896,3.635276075778971,3.577241577609523,3.51921777758936,3.6403757433087693,3.5718111640055783
1.5147789425100415,21.900000000000002,3.5798587520345153,3.5095658385244084,3.5630203856765212,3.534277151251116,3.5446737087356848,3.6503292124881543,3.639194767368859,3.583267618175125,3.5407786082622703,3.6480706472137943,3.5854095826492167
1.525099561647202,22.0,3.5920333471775026,3.5189640514066824,3.57570137661686,3.554772079615885,3.5666789404887256,3.6554369219787235,3.642436737308013,3.5892069803093247,3.563198249411636,3.654465215216087,3.5994729194230892
1.535410429589323,22.1,3.604155372973305,3.52925694313616,3.5887512899180907,3.5755469933404203,3.589328995322387,3.6590478482274964,3.6452944309410302,3.5953942412685476,3.5856647889277267,3.659589762602772,3.6136784360484273
