Arbitrary start time (ms),Average dx/dt (m/s),S13 dx/dt (m/s),S15 dx/dt (m/s),S16 dx/dt (m/s),S17 dx/dt (m/s),S18 dx/dt (m/s),S19 dx/dt (m/s),S20 dx/dt (m/s),S21 dx/dt (m/s),S22 dx/dt (m/s),S23 dx/dt (m/s),Simulated time 1 (ms), Simulated speed 1 (m/s), Simulated current 1 (A),Simulated time 2 (ms), Simulated speed 2 (m/s), Simulated current 2 (A),Simulated time 3 (ms), Simulated speed 3 (m/s), Simulated current 3 (A),Simulated time 4 (ms), Simulated speed 4 (m/s), Simulated current 4 (A),Simulated time 5 (ms), Simulated speed 5 (m/s), Simulated current 5 (A),Unnamed: 15
88.10000000000002,9.94107625410177,9.655939831019829,10.028081347568158,10.236471201086196,9.74857520285156,9.56434275855899,9.839196486328152,9.831878333234359,10.773509035113637,9.837974646157338,9.894793699099486,,,,,,,,,,,,,,,,
88.2,9.882781298166012,9.619102949405157,9.92198004957852,10.145912260916115,9.677952201974804,9.514499581683447,9.850748969556149,9.721275215947577,10.722477179205088,9.855648879634062,9.79821569375921,,,,,,,,,,,,,,,,
88.30000000000003,9.82944687032408,9.590296313508313,9.81603257788499,10.051405060223685,9.620171045041568,9.483219548205012,9.861996002108864,9.622481215361924,10.655153770863599,9.875892919851402,9.717820250191457,,,,,,,,,,,,,,,,
88.4,9.78212109637076,9.569421185236859,9.712948548912204,9.95599268781884,9.577219799184473,9.469862534117098,9.870958534356001,9.539386265798141,10.571896365006694,9.89725734670458,9.656267696572694,,,,,,,,,,,,,,,,
88.5,9.741434149914527,9.556063261062787,9.615287272029242,9.862854080153717,9.550145446915234,9.472536364395706,9.87607036393451,9.474874218140755,10.473733751235507,9.918220565287474,9.614556175990352,,,,,,,,,,,,,,,,
88.60000000000002,9.707608225876765,9.549641159475907,9.525289437069572,9.775171983087388,9.538833661519286,9.488268393355822,9.876289538150708,9.430669542845083,10.362497208945996,9.937371922750911,9.592049411566947,,,,,,,,,,,,,,,,
88.7,9.680490408535166,9.549467805437274,9.444720838393481,9.69590905620714,9.542027091578175,9.513341423366107,9.87122593959972,9.40713155238372,10.240851490419793,9.953471914169539,9.586756973796714,,,,,,,,,,,,,,,,
88.80000000000003,9.659615471936778,9.554902981260382,9.374882468369245,9.62762982608502,9.557422732492581,9.543603819737438,9.861088986584916,9.403219955126772,10.112264528219132,9.96552540242756,9.59561401906476,,,,,,,,,,,,,,,,
88.9,9.644307181272604,9.565395546293884,9.31653657807914,9.572402490125912,9.581792626898684,9.574893527135384,9.846697096892802,9.416638532738391,9.98089368453758,9.972915605082019,9.61490612494223,,,,,,,,,,,,,,,,
89.0,9.633751374087618,9.580474603012934,9.269999438673448,9.531581078226793,9.61135977766177,9.603432782799652,9.829389758813193,9.443945694260817,9.85131869781233,9.975371511644507,9.640640397970722,,,,,,,,,,,,,,,,
89.10000000000002,9.62707330439015,9.599711197143828,9.23520835398707,9.505700391867832,9.642135808948929,9.626155696648775,9.810786793338568,9.480858562015776,9.728271771728108,9.97300232653554,9.668902141687086,,,,,,,,,,,,,,,,
89.2,9.623421115046265,9.622611425839699,9.211773114188324,9.494440176643026,9.67031548086048,9.640989599537516,9.792666140718676,9.52264506775394,9.616308974262958,9.9663230587835,9.696138111874514,,,,,,,,,,,,,,,,
89.30000000000003,9.622017041391803,9.648532803427807,9.199126171710807,9.496534201872938,9.692741477464617,9.647028468408656,9.776728968263976,9.564495760434834,9.519425687960618,9.956150016339931,9.719406858033826,,,,,,,,,,,,,,,,
